Name</item>
<item> 	</item>
<item> Type</item>
<item> 	</item>
<item> Cat.</item>
<item> 	</item>
<item> Power</item>
<item> 	</item>
<item> Acc.</item>
<item> 	</item>
<item> PP</item>
<item> 	</item>
<item> Effect</item>
<item> Acid Spray	Poison	Special 	40 	100 	20 	Sharply lowers opponent's Special Defense.</item>
<item> Acrobatics	Flying	Physical 	55 	100 	15 	Stronger when the user does not have a held item.</item>
<item> After You	Normal	Status 	— 	— 	15 	Gives target priority in the next turn.</item>
<item> Ally Switch	Psychic	Status 	— 	— 	15 	User switches with opposite teammate.</item>
<item> Autotomize	Steel	Status 	— 	— 	15 	Reduces weight and sharply raises Speed.</item>
<item> Bestow	Normal	Status 	— 	— 	15 	Gives the user's held item to the target.</item>
<item> Blue Flare	Fire	Special 	130 	85 	5 	May burn opponent.</item>
<item> Bolt Strike	Electric	Physical 	130 	85 	5 	May paralyze opponent.</item>
<item> Bulldoze	Ground	Physical 	60 	100 	20 	Lowers opponent's Speed.</item>
<item> Chip Away	Normal	Physical 	70 	100 	20 	Ignores opponent's stat changes.</item>
<item> Circle Throw	Fighting	Physical 	60 	90 	10 	In battles, the opponent switches. In the wild, the Pokémon runs.</item>
<item> Clear Smog	Poison	Special 	50 	— 	15 	Removes all of the target's stat changes.</item>
<item> Coil	Poison	Status 	— 	— 	20 	Raises user's Attack, Defense and Accuracy.</item>
<item> Cotton Guard	Grass	Status 	— 	— 	10 	Drastically raises user's Defense.</item>
<item> Dragon Tail	Dragon	Physical 	60 	90 	10 	In battles, the opponent switches. In the wild, the Pokémon runs.</item>
<item> Drill Run	Ground	Physical 	80 	95 	10 	High critical hit ratio.</item>
<item> Dual Chop	Dragon	Physical 	40 	90 	15 	Hits twice in one turn.</item>
<item> Echoed Voice	Normal	Special 	40 	100 	15 	Power increases each turn.</item>
<item> Electro Ball	Electric	Special 	— 	100 	10 	The faster the user, the stronger the attack.</item>
<item> Electroweb	Electric	Special 	55 	95 	15 	Lowers opponent's Speed.</item>
<item> Entrainment	Normal	Status 	— 	100 	15 	Makes target's ability same as user's.</item>
<item> Fiery Dance	Fire	Special 	80 	100 	10 	May raise user's Special Attack.</item>
<item> Final Gambit	Fighting	Special 	— 	100 	5 	Inflicts damage equal to the user's remaining HP. User faints.</item>
<item> Fire Pledge	Fire	Special 	80 	100 	10 	Added effects appear if combined with Grass Pledge or Water Pledge.</item>
<item> Flame Burst	Fire	Special 	70 	100 	15 	May also injure nearby Pokémon.</item>
<item> Flame Charge	Fire	Physical 	50 	100 	20 	Raises user's Speed.</item>
<item> Foul Play	Dark	Physical 	95 	100 	15 	Uses the opponent's Attack stat.</item>
<item> Freeze Shock	Ice	Physical 	140 	90 	5 	Charges on first turn, attacks on second. May paralyze opponent.</item>
<item> Frost Breath	Ice	Special 	60 	90 	10 	Always results in a critical hit.</item>
<item> Fusion Bolt	Electric	Physical 	100 	100 	5 	Power increases if Fusion Flare is used in the same turn.</item>
<item> Fusion Flare	Fire	Special 	100 	100 	5 	Power increases if Fusion Bolt is used in the same turn.</item>
<item> Gear Grind	Steel	Physical 	50 	85 	15 	Hits twice in one turn.</item>
<item> Glaciate	Ice	Special 	65 	95 	10 	Lowers opponent's Speed.</item>
<item> Grass Pledge	Grass	Special 	80 	100 	10 	Added effects appear if preceded by Water Pledge or succeeded by Fire Pledge.</item>
<item> Guard Split	Psychic	Status 	— 	— 	10 	Averages Defense and Special Defense with the target.</item>
<item> Head Charge	Normal	Physical 	120 	100 	15 	User receives recoil damage.</item>
<item> Heal Pulse	Psychic	Status 	— 	— 	10 	Restores half the target's max HP.</item>
<item> Heart Stamp	Psychic	Physical 	60 	100 	25 	May cause flinching.</item>
<item> Heat Crash	Fire	Physical 	— 	100 	10 	The heavier the user, the stronger the attack.</item>
<item> Heavy Slam	Steel	Physical 	— 	100 	10 	The heavier the user, the stronger the attack.</item>
<item> Hex	Ghost	Special 	65 	100 	10 	Inflicts more damage if the target has a status condition.</item>
<item> Hone Claws	Dark	Status 	— 	— 	15 	Raises user's Attack and Accuracy.</item>
<item> Horn Leech	Grass	Physical 	75 	100 	10 	User recovers half the HP inflicted on opponent.</item>
<item> Hurricane	Flying	Special 	110 	70 	10 	May confuse opponent.</item>
<item> Ice Burn	Ice	Special 	140 	90 	5 	Charges on first turn, attacks on second. May burn opponent.</item>
<item> Icicle Crash	Ice	Physical 	85 	90 	10 	May cause flinching.</item>
<item> Incinerate	Fire	Special 	60 	100 	15 	Destroys the target's held berry.</item>
<item> Inferno	Fire	Special 	100 	50 	5 	Burns opponent.</item>
<item> Leaf Tornado	Grass	Special 	65 	90 	10 	May lower opponent's Accuracy.</item>
<item> Low Sweep	Fighting	Physical 	65 	100 	20 	Lowers opponent's Speed.</item>
<item> Magic Room	Psychic	Status 	— 	— 	10 	Suppresses the effects of held items for five turns.</item>
<item> Night Daze	Dark	Special 	85 	95 	10 	May lower opponent's Accuracy.</item>
<item> Power Split	Psychic	Status 	— 	— 	10 	Averages Attack and Special Attack with the target.</item>
<item> Psyshock	Psychic	Special 	80 	100 	10 	Inflicts damage based on the target's Defense, not Special Defense.</item>
<item> Psystrike	Psychic	Special 	100 	100 	10 	Inflicts damage based on the target's Defense, not Special Defense.</item>
<item> Quash	Dark	Status 	— 	100 	15 	Makes the target act last this turn.</item>
<item> Quick Guard	Fighting	Status 	— 	— 	15 	Protects the user's team from high-priority moves.</item>
<item> Quiver Dance	Bug	Status 	— 	— 	20 	Raises user's Special Attack, Special Defense and Speed.</item>
<item> Rage Powder	Bug	Status 	— 	— 	20 	Forces attacks to hit user, not team-mates.</item>
<item> Razor Shell	Water	Physical 	75 	95 	10 	May lower opponent's Defense.</item>
<item> Reflect Type	Normal	Status 	— 	— 	15 	User becomes the target's type.</item>
<item> Relic Song	Normal	Special 	75 	100 	10 	May put the target to sleep.</item>
<item> Retaliate	Normal	Physical 	70 	100 	5 	Inflicts double damage if a teammate fainted on the last turn.</item>
<item> Round	Normal	Special 	60 	100 	15 	Power increases if teammates use it in the same turn.</item>
<item> Sacred Sword	Fighting	Physical 	90 	100 	15 	Ignores opponent's stat changes.</item>
<item> Scald	Water	Special 	80 	100 	15 	May burn opponent.</item>
<item> Searing Shot	Fire	Special 	100 	100 	5 	May burn opponent.</item>
<item> Secret Sword	Fighting	Special 	85 	100 	10 	Inflicts damage based on the target's Defense, not Special Defense.</item>
<item> Shell Smash	Normal	Status 	— 	— 	15 	Sharply raises user's Attack, Special Attack and Speed but lowers Defense and Special Defense.</item>
<item> Shift Gear	Steel	Status 	— 	— 	10 	Raises user's Attack and sharply raises Speed.</item>
<item> Simple Beam	Normal	Status 	— 	100 	15 	Changes target's ability to Simple.</item>
<item> Sky Drop	Flying	Physical 	60 	100 	10 	Takes opponent into the air on first turn, drops them on second turn.</item>
